case_id,customer_text,drafted_reply,YOUR_score_1to5
1458740,"@AppleSupport hi, what can i do? Everything is true ! https://t.co/jTFxyqRfrW",We're here to help! Let's get to the bottom of this. Please DM us with more details about what's happening so we can assist you further.,2
193564,@AppleSupport how do I turn access mail fetch setting in the new iOS? No longer an option under the mail settings.,"@193021 We've received your DM, and will follow up with you there shortly.",1
704542,Anyone having issues with their iPad Pro Smart Keyboard after ios11? @AppleSupport,We'd be happy to help! Please DM us the iOS version you're using from Settings > General > About.,4
2643362,Help! How do I delete all photos from my iPhone but keep them on iCloud? #apple @AppleSupport,We can help you with that. Send us a DM and we'll guide you through the process.,4
2843863,@AppleSupport Awesome! I have a 6s and I'm using Wifi. To use ITunes do I have to do it on a mac?,@123456 You can use iTunes on a Mac or PC. Let us know if you need help setting it up.,5
583567,@115858 Your keyboard issues are so frustrating. Every time I type “it” it autocorrects to “I.T”    Why would anyone want to type I.T???,We can assist you. Please DM us via the following link with your device model and the current iOS version that you're using. https://t.co/GDrqU22YpT,4
2077660,@AppleSupport not happy with battery life since the software upgrade. Down to 12% after 2 hours and I’ve not used the phone in this time,We want to help. Meet us in DM and we'll continue there.,3
1743532,@AppleSupport is there a way to disable the screenshot preview? I absolutely cannot stand it and it’s ruining the functionality of my phone!,@123456 We can help. Could you join us in DM with more info on what you're seeing?,3
946675,@AppleSupport Didn’t have these issues prior to installing update. I know others with same issue of phone bogging down since update,We're sorry to hear that. Please DM us your device details and we'll help you troubleshoot.,4
1541981,"Just updated to iOS 11.1 &amp; iPhone will recognize it’s being charged for under 1 min then stops charging. What’s up with that, @AppleSupport?",We'd be happy to help. Try the steps in this article and let us know if the issue continues. https://t.co/Wc5MHFZb0p Join us in DM to discuss further.,3
486262,"@AppleSupport Hi, I can't seem to access any of my iCloud Drive files in the Files app. It just shows an empty screen :(","@123456 Thanks for reaching out. Let's troubleshoot this together. Have you tried restarting your device? If the issue persists, please DM us for further assistance.",3
2032246,@AppleSupport my iphone started freezing and restarting frequently after ugrading to #ios11. The fuck are you guys doing?,"We'd love to help look into this with you. If you are okay with this, let us know the device model and full iOS version. Send us a DM.",4
2488704,@115858 @AppleSupport can you fix the “I️” glitch already,We'd love to help with your Apple devices or features. Could you let us know the device you have the issue on? Send us a DM.,3
1526964,"@115858 bro.. why tf everytime i put “i” ,i get this bullshit 👉🏾 I️",@115858 We can help with that. Have you checked out the suggestions here: https://t.co/bivpdfBNJ6,5
588089,"@AppleSupport there needs to be a bug fix. Whenever I’m listening to music, it’ll randomly stop multiple times during the song and that’s obnoxious",We'd like to help. DM us and we'll get started.,3
1924718,"I can has found a bug when I loaded two memory hungry apps side by side which crashed, couldn’t escape them until I dragged safari icon over one of them, when I tried to- it stole my safari icon until I rotate the screen. Then it comes back. @AppleSupport https://t.co/OKE9t4J7im",We'd like to help. Send us a DM and let us know which iOS version is installed.,4
738914,"@AppleSupport Some of the notifications I receive on my phone are lacking the app icon, only the placeholder shape. How to report?",@123456 We want to help. Send us a DM letting us know which apps are affected and your iOS version.,4
2078507,Hey @AppleSupport iOS 11 (11.0.1 and 11.0.2) is trash. My 7 is so slow now and the battery drains... How can i downgrade back to iOS 10?,@123456 We want to help. Let's meet up in DM and work on this together.,3
204131,@AppleSupport Major problems with my iPhone 6 #gps since the iOS update last week. Can’t find my location to use Maps or Pokémon Go. 😡,@AppleSupport We're sorry to hear you're having trouble with Maps and Pokémon Go. Let's work together to get this resolved. Please DM us with your device details and the iOS version.,4
811638,"@AppleSupport Hi trying to download a game on to my phone but keeps telling payment failed, can't sign in to itunes too",We'd be happy to help. Please DM us with your iOS version and the error message you're seeing.,2
2505090,"iPhone 6 randomly restarts, camera roll frequently won’t open, screen orientation issues when in messages app. #ios11 @AppleSupport","We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",4
897701,Who is hacking in to my camera when I’m FaceTiming my brother? It was only app open. Our convos aren’t that serious... @115858 @AppleSupport https://t.co/CDvyF2UuaE,We're here to help. Please DM us your device and iOS version to get started.,2
1757941,Please @AppleSupport make my option to disabled wifi to really disable the wifi! Even disabled it still connects to known access points! Tks,We've updated how Wi-Fi and Bluetooth controls work in Control Center. Check out this article for more info: https://t.co/G7BHuQnDS6,5
882591,@AppleSupport hi! I just purchased an apple watch in one of the stores but my online receipt didn't come through. What to do?,@201328 We can help you with that. Please DM us your order number and we'll look into it for you.,5
2073173,@115858 the software updates have made my phone a lovely paperweight. Phone won’t even charge though it’s plugged in and shows it is charging,"We're here to help! Let's troubleshoot together. First, try restarting your device and checking the charging cable and port for any debris. If the issue persists, please DM us for further assistance.",5
2727024,"Spent 13 hrs on ☎️2day w/ 10 different #Apple reps, all of whom advised they would resolve my iCloud backup issue &amp; several of whom disconnected my call so as not to lose points for staying on the phone too long w/ me. #unacceptable @AppleSupport @116333","We're sorry to hear about your experience. Please send us a DM with your account details, and we'll look into this for you.",2
1715633,Apple iPhone 8 Bluetooth’s keeps crashing BMW’s Connected Drive. @115858 @4792,We'd love to help! Can you DM us the details of the issue?,3
1010032,My shit dies on 30% and restarts when I plug my headphones in 🙃 way to force the upgrade @115858 https://t.co/sEZgKv2za2,We want to help! Please DM us so we can look into this for you.,3
184501,@AppleSupport how can I delete my icloud account?,@123456 We can help you with that. Please DM us so we can assist you further.,2
1647380,@AppleSupport My iCloud photo library has been stuck at 1% for the past 3 or so hours? https://t.co/CCGnkn5bP7,We'd be happy to help. Please DM us with more details and we'll go from there.,3
295926,"@AppleSupport iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!",We'd like to help you with this. DM us the exact iOS version and which iPhone you're using to get started.,4
753014,@AppleSupport ever since installing ios11 I can’t control Spotify from my lock screen. Please can you tell me how to fix. Thanks,"We can help. Use the link below to DM us the version of iOS 11 your iPhone is on, and we'll take it from there.",4
2010157,Ummm @AppleSupport any reason speaker phone doesn’t work after the last update? I know quite a few having problems.,We'd be happy to help you with that. Let's meet up in DM to look into some solutions.,3
271280,"@AppleSupport 
Two apps that I did not purchase appeared on my iPhone. Also received notification of $1.99 weekly subscription to one.  WTF? https://t.co/rKaebzabTu",@115858 Thanks for reaching out. Try these steps to remove unwanted apps: https://t.co/3J06X6X6X6 DM questions.,1
1123180,@AppleSupport my phone died and now it won't turn on again and It's not the charger and none of the button things are working...sos,We'd love to help! Send us a DM with the country that you are located in to continue.,3
427408,@AppleSupport Like I have to use my speaker or headphones to talk on the phone,"Hey there, we'd like to help. Meet us in DM and let us know what's happening. We will proceed from there.",3
245366,@AppleSupport Subscribed to Apple Music yesterday. Downloaded songs but they don’t play offline in a car but do with no WiFi at home.,@123456 Let's get this sorted. Have you checked to confirm you're logged into Apple Music on your device?,2
2790686,@AppleSupport this same bug was happening with iOS 11.0.1 https://t.co/svzASxFuMK,@116347 We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,3
2319816,@AppleSupport  please answer my call my Apple ID is disabled and I don’t know why. https://t.co/fmSZJ4YROF,We can help! Check out the following article about what to do when you get that error message: https://support.apple.com/en-us/HT204088,5
1551330,"So we really just gonna ignore this in the 11.1 update @applesupport ?

oh ok. https://t.co/bOnwOeMNlp",We'd love to help. Can you send us a DM letting us know what model iPhone and iOS version you're on? Has this happened to you before?,4
